date, pm25, pm10, o3, no2, so2, co
2022/10/23, 43, 14, , 13, , 3
2022/10/24, 38, 20, , 20, , 5
2022/10/25, 48, 17, , 19, , 4
2022/10/26, 48, 28, , 23, 1, 5
2022/10/27, 57, 44, , 25, 1, 5
2022/10/28, 72, 38, , 26, 1, 6
2022/10/29, 74, 35, , 22, 1, 5
2022/10/30, 62, 16, , 12, , 3
2022/10/31, 37, 15, , 22, 1, 5
2022/11/1, 44, 8, , 11, , 3
2022/11/2, 19, 7, , 9, , 2
2022/11/3, 14, 14, , 14, , 5
2022/11/4, 31, 17, , 19, 1, 5
2022/11/5, 42, 13, , 15, 1, 4
2022/11/6, 32, 9, , 11, 1, 3
2022/11/7, 26, 14, , 14, 1, 4
2022/11/8, 29, 19, , 20, 1, 5
2022/11/9, 46, 25, , 22, 1, 5
2022/11/10, 62, 31, , 26, 1, 6
2022/11/11, 70, 24, , 27, 1, 6
2022/11/12, 57, 14, , 17, , 4
2022/11/13, 46, 17, , 14, 2, 4
2022/11/14, 49, 24, , 24, 1, 6
2022/11/15, 59, 23, , 19, 1, 4
2022/11/16, 53, 21, , 22, 1, 5
2022/11/17, 52, 21, , 22, 2, 4
2022/11/18, 53, 19, , 17, 1, 4
2022/11/19, 46, 22, , 16, 9, 4
2022/11/20, 50, 19, , 13, , 3
2022/11/21, 49, 30, , 30, 1, 7
2022/11/22, 73, 30, , 25, , 6
2022/11/23, 66, 24, , 25, , 5
2022/11/24, 57, 14, , 18, , 4
2022/11/25, 39, 11, , 16, , 4
2022/11/26, 29, 14, , 17, , 4
2022/11/27, 33, 13, , , 1, 3
2022/11/28, 37, 15, , 24, 1, 6
2022/11/29, 43, 18, , 22, 1, 6
2022/11/30, 54, 24, , 30, 1, 8
2022/12/1, 65, 21, , 28, 3, 6
2022/12/2, 51, 29, , 27, 1, 7
2022/12/3, 64, 22, , 30, 1, 7
2022/12/4, 55, 15, , 14, 1, 5
2022/12/5, 43, 17, , 19, 4, 5
2022/12/6, 46, 16, , 17, , 5
2022/12/7, 40, 15, , 19, , 6
2022/12/8, 37, 18, , 18, 1, 5
2022/12/9, 49, 35, , 24, 1, 6
2022/12/10, 75, 23, , 22, , 6
2022/12/11, 65, 34, , 18, 1, 5
2022/12/12, 74, 23, , 22, 1, 5
2022/12/13, 59, 17, , 15, , 3
2022/12/14, 54, 21, , 17, , 5
2022/12/15, 49, 23, , 20, 1, 4
2022/12/16, 51, 23, , 23, 1, 6
2022/12/17, 58, 16, , 16, , 4
2022/12/18, 43, 13, , 10, 1, 3
2022/12/19, 33, 19, , 16, , 6
2022/12/20, 51, 18, , 19, 1, 6
2022/12/21, 52, 11, , 13, , 5
2022/12/22, 20, 11, , 12, 1, 4
2022/12/23, 28, 19, , 16, 1, 5
2022/12/24, 43, 15, , 13, 1, 3
2022/12/25, 43, 14, , 10, 1, 3
2022/12/26, 46, 16, , 14, 1, 4
2022/12/27, 46, 18, , 15, 1, 5
2022/12/28, 44, 14, , 13, , 4
2022/12/29, 33, 15, , 14, 1, 4
2022/12/30, 36, 14, , 17, , 4
2022/12/31, 38, 14, , 16, , 4
2023/1/1, 41, 32, , 11, , 6
2023/1/2, 96, 16, , 15, , 3
2022/7/2, 132, 57, , 29, 1, 12
2022/7/3, 109, 54, , 29, 1, 14
2022/7/4, 121, 57, , 32, 2, 12
2022/7/5, 121, 58, , 32, 2, 10
2022/7/6, 106, 61, , 32, 3, 11
2022/7/7, 112, 63, , 31, 5, 14
2022/7/8, 109, 58, , 33, 2, 11
2022/7/9, 110, 36, , 24, 1, 6
2022/7/10, 77, 40, , 19, 1, 9
2022/7/11, 83, 46, , 20, 1, 5
2022/7/12, 61, 52, , 20, 1, 5
2022/7/13, 64, 21, , 20, 1, 6
2022/7/14, 41, 42, , 27, 1, 9
2022/7/15, 72, 58, , 28, 2, 11
2022/7/16, 91, 52, , 22, 1, 8
2022/7/17, 79, 34, , 16, 1, 4
2022/7/18, 68, 30, , 18, 1, 5
2022/7/19, 53, 25, , 18, 1, 5
2022/7/20, 49, 23, , 21, 1, 6
2022/7/21, 45, 36, , 28, 2, 8
2022/7/22, 62, 59, , 40, 5, 12
2022/7/23, 120, 51, , 32, 2, 11
2022/7/24, 111, 51, , 30, 2, 10
2022/7/25, 124, 55, , 34, 2, 10
2022/7/26, 116, 57, , 30, 2, 9
2022/7/27, 122, 50, , 30, 1, 7
2022/7/28, 95, 63, , 29, 2, 9
2022/7/29, 115, 43, , 27, 1, 8
2022/7/30, 80, 23, , 19, 1, 6
2022/7/31, 47, 26, , 16, 1, 4
2022/8/1, 65, 39, , 28, 1, 9
2022/8/2, 84, 53, , 37, 2, 12
2022/8/3, 109, 49, , 34, 2, 10
2022/8/4, 107, 61, , 33, 2, 12
2022/8/5, 117, 53, , 29, 2, 9
2022/8/6, 96, 26, , 18, 1, 6
2022/8/7, 55, , , 18, 1, 6
2022/8/8, 48, , , 24, 1, 7
2022/8/9, 55, 36, , 28, 1, 9
2022/8/10, 70, 30, , 15, 1, 6
2022/8/11, 31, 20, , 13, 1, 
2022/8/12, 32, 26, , 22, 1, 
2022/8/13, 48, 25, , 22, 1, 
2022/8/14, 62, 31, , 23, 1, 
2022/8/15, 81, 49, , 31, 2, 
2022/8/16, 93, 43, , 24, 2, 
2022/8/17, 74, 38, , 31, 1, 9
2022/8/18, 76, 43, , 25, 2, 6
2022/8/19, 77, 8, , 12, 1, 4
2022/8/20, 26, , , 15, 1, 4
2022/8/21, 35, , , 11, 1, 3
2022/8/22, 30, , , 20, 2, 5
2022/8/23, 59, , , 22, 2, 5
2022/8/24, 71, , , 24, 2, 6
2022/8/25, 83, , , 27, 2, 7
2022/8/26, 81, , , 35, 2, 11
2022/8/27, 89, , , 29, 2, 11
2022/8/28, 109, , , 19, 2, 8
2022/8/29, 97, , , 12, , 4
2022/8/30, 28, , , 16, , 4
2022/8/31, 39, 22, , 20, 1, 5
2022/9/1, 47, 39, , 35, 1, 12
2022/9/2, 79, 60, , 30, 1, 9
2022/9/3, 106, 20, , 19, , 5
2022/9/4, 50, 13, , 11, , 3
2022/9/5, 28, 21, , 19, 1, 5
2022/9/6, 46, 23, , 21, 1, 6
2022/9/7, 57, 52, , 28, 1, 25
2022/9/8, 106, 60, , 35, 2, 19
2022/9/9, 116, 70, , 37, 2, 15
2022/9/10, 128, 47, , 24, 1, 8
2022/9/11, 97, 13, , 13, , 3
2022/9/12, 35, 24, , 20, 1, 6
2022/9/13, 64, 40, , 29, 1, 13
2022/9/14, 91, 21, , 25, , 8
2022/9/15, 58, 14, , 21, 1, 6
2022/9/16, 33, 14, , 19, , 5
2022/9/17, 35, 16, , 18, 1, 4
2022/9/18, 30, 16, , 14, 1, 3
2022/9/19, 38, 29, , 24, 1, 5
2022/9/20, 60, 30, , 21, 1, 5
2022/9/21, 70, , , 26, 1, 6
2022/9/22, 61, 44, , 22, , 6
2022/9/23, 63, 23, , 19, 1, 5
2022/9/24, 44, 24, , 21, 1, 5
2022/9/25, 55, 23, , 13, 1, 3
2022/9/26, 59, 20, , 25, 1, 9
2022/9/27, 59, 23, , 28, 1, 9
2022/9/28, 61, 10, , 22, 1, 6
2022/9/29, 42, 12, , 19, , 6
2022/9/30, 39, 18, , 22, , 8
2022/10/1, 50, 22, , 20, 1, 7
2022/4/2, 34, 13, , 13, , 5
2022/4/3, 27, 17, , 10, , 3
2022/4/4, 28, 29, , 18, , 5
2022/4/5, 54, 21, , 18, , 6
2022/4/6, 43, 20, , 19, , 6
2022/4/7, 45, 27, , 19, 1, 5
2022/4/8, 56, 37, , 18, 5, 5
2022/4/9, 59, 29, , 17, , 6
2022/4/10, 62, 16, , 13, , 4
2022/4/11, 41, 33, , 19, , 5
2022/4/12, 58, 44, , 23, , 7
2022/4/13, 68, 33, , 18, , 5
2022/4/14, 59, 12, , 10, , 4
2022/4/15, 30, 15, , 7, , 2
2022/4/16, 29, 20, , 10, , 3
2022/4/17, 40, 14, , 10, , 3
2022/4/18, 28, 31, , 19, , 5
2022/4/19, 53, 30, , 19, , 5
2022/4/20, 58, 30, , 23, , 6
2022/4/21, 61, 33, , 16, , 5
2022/4/22, 65, 52, , , , 9
2022/4/23, 103, 47, , , , 5
2022/4/24, 66, 33, , , , 5
2022/4/25, 67, 36, , , , 5
2022/4/26, 60, 42, , , , 8
2022/4/27, 77, 60, , , , 9
2022/4/28, 105, 63, , , 7, 9
2022/4/29, 96, 35, , , , 6
2022/4/30, 62, 17, , , , 6
2022/5/1, 33, 25, , , , 5
2022/5/2, 46, 43, , , , 6
2022/5/3, 75, 47, , , , 7
2022/5/4, 71, 26, , 18, , 4
2022/5/5, 49, 21, , 13, , 3
2022/5/6, 59, 19, , 19, , 6
2022/5/7, 35, 22, , 18, , 6
2022/5/8, 40, 17, , 14, , 4
2022/5/9, 41, 25, , 22, , 6
2022/5/10, 53, 33, , 25, , 6
2022/5/11, 67, 46, , 25, , 6
2022/5/12, 78, 22, , 17, , 5
2022/5/13, 48, 31, , 26, , 6
2022/5/14, 70, 33, , 23, , 6
2022/5/15, 70, 29, , 13, , 4
2022/5/16, 58, 23, , 17, , 5
2022/5/17, 58, 25, , 15, , 4
2022/5/18, 40, 29, , 9, , 
2022/5/19, 89, 31, , 15, 1, 
2022/5/20, 63, 47, , 29, 2, 17
2022/5/21, 108, 34, , 25, 1, 7
2022/5/22, 79, 31, , 24, 1, 9
2022/5/23, 84, 48, , 32, 1, 12
2022/5/24, 107, 56, , 38, 2, 13
2022/5/25, 111, 66, , 31, 2, 12
2022/5/26, 117, 63, , 29, 1, 11
2022/5/27, 114, 59, , 29, 1, 11
2022/5/28, 100, 56, , 24, 1, 11
2022/5/29, 107, 38, , 15, , 5
2022/5/30, 64, 42, , 23, , 7
2022/5/31, 71, 13, , 20, , 6
2022/6/1, 33, 36, , 26, , 9
2022/6/2, 66, 31, , 22, , 9
2022/6/3, 64, 18, , 15, , 5
2022/6/4, 35, 14, , 16, , 5
2022/6/5, 33, 22, , 16, , 4
2022/6/6, 44, 46, , 28, 1, 9
2022/6/7, 84, 47, , 27, 1, 9
2022/6/8, 86, 26, , 23, , 8
2022/6/9, 57, 32, , 25, , 8
2022/6/10, 66, 19, , 17, , 5
2022/6/11, 50, 19, , 17, , 6
2022/6/12, 43, 18, , 11, , 3
2022/6/13, 36, 28, , 17, 1, 6
2022/6/14, 66, 27, , 21, 1, 7
2022/6/15, 59, 41, , , 1, 11
2022/6/16, 83, 53, , , 2, 16
2022/6/17, 125, 49, , , 1, 10
2022/6/18, 106, 24, , , , 4
2022/6/19, 52, 20, , , , 4
2022/6/20, 53, 38, , , 1, 11
2022/6/21, 75, 54, , , 1, 14
2022/6/22, 104, 52, , , 1, 13
2022/6/23, 87, 52, , 21, 1, 11
2022/6/24, 93, 59, , 39, 2, 11
2022/6/25, 120, 42, , 21, 1, 8
2022/6/26, 91, 11, , 14, , 3
2022/6/27, 22, 29, , 23, 1, 8
2022/6/28, 54, 47, , 32, 1, 10
2022/6/29, 88, 57, , 27, 1, 9
2022/6/30, 98, 40, , 25, 1, 7
2022/7/1, 78, 58, , 34, 2, 13
2022/1/4, 46, 30, , 17, , 6
2022/1/5, 51, 25, , 14, , 3
2022/1/6, 41, 20, , 12, , 2
2022/1/7, 31, , , , , 
2022/1/11, 55, 23, , 17, , 5
2022/1/12, 49, 22, , 15, , 5
2022/1/13, 44, 25, , 18, , 6
2022/1/14, 52, 38, , 29, , 8
2022/1/15, 73, 31, , 24, , 7
2022/1/16, 72, 24, , 11, , 3
2022/1/17, 42, 28, , 18, , 4
2022/1/18, 46, 43, , 19, 1, 4
2022/1/19, 51, , , , , 
2022/1/21, 68, 62, , 30, , 6
2022/1/22, 86, 49, , 20, , 5
2022/1/23, 68, , , , , 
2022/1/25, 121, , , , , 
2022/2/3, 69, 30, , 21, , 
2022/2/4, 54, 40, , 19, , 
2022/2/5, 51, 30, , 14, , 
2022/2/6, 50, 24, , 7, , 
2022/2/7, 39, 21, , 14, , 5
2022/2/8, 25, 29, , 17, , 4
2022/2/9, 48, 22, , 18, , 4
2022/2/10, 60, 27, , 18, , 5
2022/2/11, 56, 27, , 17, , 5
2022/2/12, 52, 24, , 14, , 4
2022/2/13, 41, 23, , 11, , 3
2022/2/14, 41, 39, , 22, , 6
2022/2/15, 74, 31, , 19, , 5
2022/2/16, 57, 30, , 20, , 5
2022/2/17, 55, 37, , 21, , 5
2022/2/18, 66, 22, , 22, , 6
2022/2/19, 54, 33, , 20, , 6
2022/2/20, 55, 22, , 12, , 4
2022/2/21, 47, 36, , 24, , 6
2022/2/22, 60, 39, , 33, 1, 7
2022/2/23, 80, 42, , 27, 1, 7
2022/2/24, 77, 35, , 26, 1, 6
2022/2/25, 68, 36, , 23, 1, 6
2022/2/26, 74, 35, , 23, , 6
2022/2/27, 62, 39, , 14, 1, 4
2022/2/28, 77, 30, , 18, , 4
2022/3/1, 66, 38, , 15, , 3
2022/3/2, 57, 29, , 21, , 5
2022/3/3, 61, 36, , 28, 1, 6
2022/3/4, 70, 35, , 28, , 7
2022/3/5, 68, 190, , 41, , 14
2022/3/6, 61, 30, , 26, , 6
2022/3/7, 53, 34, , 31, , 7
2022/3/8, 68, 35, , 25, , 5
2022/3/9, 69, 29, , 21, , 5
2022/3/10, 65, 36, , 22, , 5
2022/3/11, 64, 35, , 21, , 5
2022/3/12, 43, 28, , 14, 1, 3
2022/3/13, 50, 35, , 17, , 6
2022/3/14, 33, 27, , 20, , 7
2022/3/15, 49, 21, , 16, , 5
2022/3/16, 34, 29, , 20, , 7
2022/3/17, 55, 29, , 33, , 7
2022/3/18, 56, 36, , 29, , 8
2022/3/19, 64, 33, , 20, 1, 7
2022/3/20, 54, 11, , 9, , 3
2022/3/21, 22, 18, , 14, , 4
2022/3/22, 32, 27, , 16, 1, 4
2022/3/23, 44, 33, , 22, , 6
2022/3/24, 59, 38, , 21, 1, 5
2022/3/25, 63, 45, , 20, , 6
2022/3/26, 62, 32, , 17, , 5
2022/3/27, 59, 22, , 12, , 4
2022/3/28, 44, 20, , 21, , 6
2022/3/29, 42, 22, , 24, , 5
2022/3/30, 47, 33, , 21, 1, 5
2022/3/31, 58, 15, , 14, , 4
2022/4/1, 25, 15, , 17, , 6
2021/10/2, 71, 37, , , 1, 7
2021/10/3, 68, 34, , , , 5
2021/10/4, 67, 35, , , , 8
2021/10/5, 55, 17, , , , 5
2021/10/6, 37, 30, , , , 4
2021/10/7, 55, 47, , , 1, 6
2021/10/8, 82, , , , , 
2021/10/14, 61, 48, , 29, , 5
2021/10/15, 78, 37, , 28, , 5
2021/10/16, 60, 17, , 16, , 3
2021/10/17, 36, 10, , 12, , 3
2021/10/18, 25, 17, , 21, , 5
2021/10/19, 41, 13, , 18, , 4
2021/10/20, 28, 19, , 21, , 4
2021/10/21, 38, 25, , 23, , 5
2021/10/22, 52, 30, , 28, 1, 5
2021/10/23, 63, 42, , 30, 1, 8
2021/10/24, 80, 28, , 12, , 3
2021/10/25, 42, 32, , 24, , 6
2021/10/26, 58, 33, , 24, , 5
2021/10/27, 67, 37, , 23, , 5
2021/10/28, 73, 32, , 25, , 6
2021/10/29, 63, 33, , 21, 1, 5
2021/10/30, 58, 22, , 17, , 4
2021/10/31, 47, 21, , 16, , 4
2021/11/1, 47, 20, , 19, 1, 4
2021/11/2, 42, 15, , 11, , 2
2021/11/3, 26, 22, , 18, , 4
2021/11/4, 49, 31, , 24, , 5
2021/11/5, 68, 31, , 24, 2, 5
2021/11/6, 75, 29, , 20, , 4
2021/11/7, 61, 19, , 11, , 2
2021/11/8, 48, 29, , 17, 1, 4
2021/11/9, 52, 23, , 18, , 4
2021/11/10, 53, 24, , 18, , 4
2021/11/11, 48, 22, , 19, , 6
2021/11/12, 48, 17, , 15, , 4
2021/11/13, 36, 24, , 15, 1, 3
2021/11/14, 39, 22, , 10, 1, 3
2021/11/15, 41, 30, , 15, 1, 2
2021/11/16, 60, 37, , 30, 1, 5
2021/11/17, 71, 44, , 30, 1, 6
2021/11/18, 83, 50, , 26, 1, 6
2021/11/19, 76, 18, , 19, , 5
2021/11/20, 31, 13, , 13, , 3
2021/11/21, 28, 19, , 10, , 2
2021/11/22, 48, 28, , 24, , 5
2021/11/23, 57, 41, , 23, , 5
2021/11/24, 74, 36, , 17, , 4
2021/11/25, 61, 42, , 27, , 5
2021/11/26, 79, 33, , 22, , 4
2021/11/27, 67, 21, , 13, , 1
2021/11/28, 45, 28, , 17, , 4
2021/11/29, 64, 39, , 24, , 4
2021/11/30, 71, 34, , 16, , 5
2021/12/1, 42, 23, , 18, 1, 4
2021/12/2, 57, 25, , 22, , 4
2021/12/3, 55, 18, , 16, , 4
2021/12/4, 44, 21, , 17, , 3
2021/12/5, 52, 23, , 13, , 2
2021/12/6, 48, 23, , 17, , 3
2021/12/7, 52, 16, , 13, , 3
2021/12/8, 33, 18, , 12, , 3
2021/12/9, 32, 19, , 12, , 3
2021/12/10, 35, 24, , 18, , 4
2021/12/11, 44, 35, , 25, 1, 7
2021/12/12, 69, 45, , 20, , 3
2021/12/13, 76, 36, , 25, , 6
2021/12/14, 55, 25, , 22, , 6
2021/12/15, 63, 26, , 21, , 7
2021/12/16, 50, 26, , 19, , 5
2021/12/17, 55, 22, , 18, , 6
2021/12/18, 44, 16, , 13, , 4
2021/12/19, 32, 14, , 8, , 2
2021/12/20, 22, 27, , 18, , 3
2021/12/21, 45, 36, , 23, , 4
2021/12/22, 81, 40, , 25, , 5
2021/12/23, 71, 20, , 10, , 2
2021/12/24, 40, 18, , 10, , 2
2021/12/25, 25, 25, , 9, , 2
2021/12/26, 43, 21, , 12, 1, 3
2021/12/27, 51, 35, , 26, , 5
2021/12/28, 66, 31, , 27, , 5
2021/12/29, 55, 31, , 24, , 5
2021/12/30, 73, 28, , 23, , 6
2021/12/31, 60, 19, , 17, , 4
2022/1/1, 35, 22, , 8, , 
2022/1/2, 56, 24, , 13, , 6
2022/1/3, 37, 22, , 18, , 6
2021/7/2, 91, 44, , 35, 1, 13
2021/7/3, 95, 49, , 27, 1, 9
2021/7/4, 119, 22, , 15, , 3
2021/7/5, 60, 29, , 25, 1, 6
2021/7/6, 67, 29, , 26, 1, 6
2021/7/7, 69, 28, , 26, 1, 7
2021/7/8, 58, 33, , 26, 1, 7
2021/7/9, 87, 33, , 25, 1, 
2021/7/10, 84, 40, , 31, 1, 
2021/7/11, 102, 48, , 25, 1, 
2021/7/12, 128, 46, , 32, 1, 
2021/7/13, 115, 51, , 30, 2, 
2021/7/14, 116, 60, , 34, 3, 
2021/7/15, 127, 71, , 34, , 
2021/7/16, 128, 48, , 31, 1, 5
2021/7/17, 99, 37, , 24, , 6
2021/7/18, 63, 35, , 15, , 5
2021/7/19, 63, 34, , 19, 1, 4
2021/7/20, 49, 55, , 25, 1, 7
2021/7/21, 102, 60, , 48, 2, 13
2021/7/22, 109, 57, , 34, 1, 8
2021/7/23, 115, 53, , 43, 1, 10
2021/7/24, 109, 64, , 44, 2, 14
2021/7/25, 140, 62, , 21, 1, 10
2021/7/26, 133, 85, , 33, 2, 12
2021/7/27, 132, 83, , 35, 1, 9
2021/7/28, 127, 18, , 17, , 5
2021/7/29, 38, 26, , 18, , 3
2021/7/30, 51, 33, , 23, 1, 4
2021/7/31, 62, 30, , 19, 1, 4
2021/8/1, 60, 29, , 16, 1, 4
2021/8/2, 62, 40, , 25, 1, 6
2021/8/3, 86, 24, , 19, , 4
2021/8/4, 47, 29, , 21, , 5
2021/8/5, 51, 38, , 25, 1, 6
2021/8/6, 72, 43, , 23, 1, 6
2021/8/7, 85, 40, , , 1, 7
2021/8/8, 86, 34, , , 1, 6
2021/8/9, 82, 60, , , 2, 11
2021/8/10, 111, 71, , , 2, 12
2021/8/11, 130, 41, , , 4, 5
2021/8/12, 82, 16, , 18, , 5
2021/8/13, 25, 19, , 21, , 6
2021/8/14, 37, 27, , 22, , 6
2021/8/15, 54, 32, , 17, , 5
2021/8/16, 71, 39, , 31, 1, 8
2021/8/17, 87, 67, , 41, 2, 16
2021/8/18, 116, 69, , 51, 2, 14
2021/8/19, 134, 79, , 45, 2, 14
2021/8/20, 143, 76, , 38, 2, 11
2021/8/21, 136, 69, , 46, 2, 12
2021/8/22, 142, 67, , 28, 2, 11
2021/8/23, 128, 98, , 41, 4, 14
2021/8/24, 170, 103, , 54, 4, 15
2021/8/25, 161, 105, , 48, 6, 14
2021/8/26, 162, 68, , 31, 1, 6
2021/8/27, 131, 23, , 16, , 4
2021/8/28, 40, 24, , 24, , 7
2021/8/29, 43, 19, , 13, , 4
2021/8/30, 32, 19, , 17, , 4
2021/8/31, 36, 25, , 17, 1, 5
2021/9/1, 45, 35, , 21, , 5
2021/9/2, 58, 40, , 29, , 7
2021/9/3, 74, 54, , 34, 1, 10
2021/9/4, 96, 54, , 30, 1, 6
2021/9/5, 101, 40, , 22, 1, 6
2021/9/6, 79, 39, , 22, , 6
2021/9/7, 78, 29, , 15, , 3
2021/9/8, 60, 62, , 22, 1, 6
2021/9/9, 95, 96, , 26, 1, 
2021/9/10, 86, 194, , , 1, 7
2021/9/11, 79, , , , , 6
2021/9/12, 70, 33, , , , 6
2021/9/13, 75, 50, , , 1, 10
2021/9/14, 106, 62, , , 1, 7
2021/9/15, 115, 34, , , , 6
2021/9/16, 64, 17, , , , 4
2021/9/17, 33, 26, , , , 6
2021/9/18, 52, 40, , , , 6
2021/9/19, 74, 43, , , , 7
2021/9/20, 92, 46, , , , 7
2021/9/21, 106, 124, , , 1, 7
2021/9/22, 107, 18, , , 1, 5
2021/9/23, 33, 29, , , 1, 4
2021/9/24, 50, 40, , , , 5
2021/9/25, 71, 36, , , , 5
2021/9/26, 80, 39, , , , 5
2021/9/27, 85, 50, , , 1, 8
2021/9/28, 109, 52, , , 1, 7
2021/9/29, 113, 49, , , 1, 4
2021/9/30, 93, 27, , , 1, 5
2021/10/1, 62, 39, , , 1, 7
2021/4/2, 36, 14, , 7, , 2
2021/4/3, 25, 21, , 11, , 2
2021/4/4, 50, 17, , 8, 1, 2
2021/4/5, 36, 21, , 13, 1, 4
2021/4/6, 42, 31, , 20, 1, 5
2021/4/7, 64, 19, , 16, , 4
2021/4/8, 46, 21, , 16, 1, 4
2021/4/9, 43, 25, , 23, 1, 6
2021/4/10, 58, 30, , 18, 1, 6
2021/4/11, 63, 33, , 16, , 5
2021/4/12, 76, 36, , 17, , 3
2021/4/13, 65, 15, , 12, , 3
2021/4/14, 32, 22, , 16, 1, 4
2021/4/15, 46, 28, , 17, 1, 4
2021/4/16, 56, 33, , 24, 1, 6
2021/4/17, 68, 32, , 19, , 6
2021/4/18, 69, 13, , 7, , 1
2021/4/19, 29, 13, , 7, , 3
2021/4/20, 18, 13, , 10, , 3
2021/4/21, 30, 16, , 6, , 2
2021/4/22, 23, 16, , 14, , 4
2021/4/23, 34, 20, , 14, , 4
2021/4/24, 35, 19, , 12, , 3
2021/4/25, 34, 23, , 11, , 3
2021/4/26, 52, 28, , 22, 1, 6
2021/4/27, 67, 15, , 15, , 4
2021/4/28, 42, 20, , 18, , 4
2021/4/29, 48, 17, , 14, 1, 4
2021/4/30, 34, 19, , 15, 1, 5
2021/5/1, 38, 23, , 15, 1, 4
2021/5/2, 54, 23, , 13, 1, 3
2021/5/3, 60, 36, , 21, 1, 6
2021/5/4, 88, 43, , 26, 1, 7
2021/5/5, 100, 51, , 31, 1, 8
2021/5/6, 115, 46, , 32, 1, 7
2021/5/7, 107, 11, , 11, , 4
2021/5/8, 26, 16, , 15, , 4
2021/5/9, 37, 17, , 12, 1, 3
2021/5/10, 43, 28, , 21, 1, 5
2021/5/11, 60, 33, , 23, , 5
2021/5/12, 74, 19, , 16, , 3
2021/5/13, 42, 14, , 17, , 5
2021/5/14, 36, 23, , 19, , 6
2021/5/15, 59, 28, , 20, 1, 5
2021/5/16, 70, 21, , 14, , 4
2021/5/17, 63, 36, , 24, 1, 7
2021/5/18, 85, 25, , 18, , 5
2021/5/19, 63, 35, , 29, , 7
2021/5/20, 82, 49, , 30, 1, 8
2021/5/21, 118, 48, , 37, 1, 12
2021/5/22, 108, 41, , 23, 1, 19
2021/5/23, 88, 23, , 8, , 2
2021/5/24, 50, 23, , 19, 1, 6
2021/5/25, 60, 44, , 34, 1, 9
2021/5/26, 109, 43, , 32, 1, 8
2021/5/27, 103, 47, , 29, 1, 9
2021/5/28, 107, 47, , 25, 1, 8
2021/5/29, 104, 42, , 14, , 6
2021/5/30, 68, 27, , 18, , 7
2021/5/31, 61, 20, , 19, , 6
2021/6/1, 51, 29, , 24, 1, 7
2021/6/2, 59, 41, , 35, 1, 10
2021/6/3, 101, 41, , 24, , 7
2021/6/4, 102, 36, , 35, , 8
2021/6/5, 91, 40, , 25, 1, 10
2021/6/6, 99, 37, , 17, 1, 6
2021/6/7, 91, 23, , 20, , 6
2021/6/8, 57, 16, , 18, , 5
2021/6/9, 31, 27, , 28, , 8
2021/6/10, 66, 35, , 26, , 8
2021/6/11, 81, 20, , 19, , 6
2021/6/12, 58, 24, , 17, 1, 6
2021/6/13, 56, 16, , 13, , 3
2021/6/14, 35, 28, , 23, 1, 6
2021/6/15, 63, 31, , 23, 1, 5
2021/6/16, 79, 18, , 16, , 4
2021/6/17, 48, 15, , 18, , 5
2021/6/18, 34, 25, , 25, , 7
2021/6/19, 59, 32, , 21, , 7
2021/6/20, 79, 26, , 10, , 4
2021/6/21, 73, 21, , 23, 1, 5
2021/6/22, 46, 22, , 21, , 6
2021/6/23, 55, 21, , 21, , 6
2021/6/24, 44, 31, , 24, 1, 9
2021/6/25, 70, 47, , 40, 1, 14
2021/6/26, 111, 45, , 34, 1, 11
2021/6/27, 103, 32, , 17, , 8
2021/6/28, 83, 35, , 21, , 8
2021/6/29, 87, 19, , 16, , 5
2021/6/30, 31, 23, , 20, 1, 6
2021/7/1, 79, 34, , 23, 1, 6
2021/1/5, 42, 24, , 17, , 4
2021/1/6, 55, 29, , 16, , 4
2021/1/7, 60, 22, , 12, , 2
2021/1/8, 36, 24, , 14, , 5
2021/1/9, 47, 23, , 16, , 5
2021/1/10, 62, 24, , 10, , 4
2021/1/11, 54, 23, , 16, , 5
2021/1/12, 53, 31, , 22, , 6
2021/1/13, 59, 19, , 15, , 5
2021/1/14, 53, 23, , 16, 1, 6
2021/1/15, 51, 29, , 21, 1, 8
2021/1/16, 61, 23, , 13, , 5
2021/1/17, 48, 21, , 6, , 2
2021/1/18, 30, 25, , 12, , 3
2021/1/19, 34, 21, , 15, , 5
2021/1/20, 49, 21, , 16, 1, 5
2021/1/21, 54, 28, , 17, 1, 5
2021/1/22, 59, 23, , 17, , 5
2021/1/23, 53, 29, , 15, , 4
2021/1/24, 56, 23, , 11, , 3
2021/1/25, 57, 24, , 14, , 4
2021/1/26, 52, 23, , 21, , 6
2021/1/27, 56, 32, , 19, , 4
2021/1/28, 60, 26, , 19, 1, 5
2021/1/29, 52, 36, , 22, 1, 6
2021/1/30, 72, 38, , 17, , 5
2021/1/31, 77, 27, , 8, , 3
2021/2/1, 70, 28, , 7, 1, 5
2021/2/2, 55, 31, , , , 5
2021/2/3, 58, 33, , , 1, 6
2021/2/4, 84, 30, , , , 4
2021/2/5, 72, 18, , , , 5
2021/2/6, 39, 17, , , , 4
2021/2/7, 49, 16, , 7, , 1
2021/2/8, 34, 20, , 10, 1, 3
2021/2/9, 44, 22, , 14, , 3
2021/2/10, 42, 25, , 17, 1, 4
2021/2/11, 55, 23, , 24, , 6
2021/2/12, 61, 26, , 23, , 7
2021/2/13, 56, 19, , 16, , 5
2021/2/14, 42, 19, , 8, , 3
2021/2/15, 40, 19, , 13, , 3
2021/2/16, 43, 26, , 17, , 4
2021/2/17, 45, 33, , 23, , 6
