date, pm25, pm10, o3, no2, so2, co
2024/7/29, 118, 49, , 26, 1, 9
2024/7/30, 103, 11, , 20, , 6
2024/7/31, 29, 24, , 24, , 6
2024/8/1, 53, 38, , 28, , 7
2024/8/2, 77, 38, , 33, , 9
2024/8/3, 80, 46, , 32, 1, 10
2024/8/4, 81, 46, , 21, 1, 11
2024/8/5, 98, 47, , 29, 1, 11
2024/8/6, 94, 66, , 35, 1, 11
2024/8/7, 101, 60, , 29, 1, 9
2024/8/8, 94, 67, , 34, 1, 9
2024/8/9, 101, 43, , 27, , 8
2024/8/10, 85, 11, , 15, , 6
2024/8/11, 34, 23, , 18, , 6
2024/8/12, 67, 25, , 25, , 6
2024/8/13, 60, 27, , 25, 1, 6
2024/8/14, 73, 40, , 31, 1, 8
2024/8/15, 98, 60, , 46, 1, 16
2024/8/16, 145, 74, , 45, 3, 13
2024/8/17, 136, 80, , 43, 3, 7
2024/4/2, 68, 35, , 33, 1, 8
2024/4/3, 72, 33, , 27, , 7
2024/4/4, 76, 35, , 26, , 7
2024/4/5, 68, 30, , 26, , 7
2024/4/6, 79, 17, , 17, , 5
2024/4/7, 55, 18, , 13, , 4
2024/4/8, 49, 28, , 23, 1, 7
2024/4/9, 60, 26, , 24, , 6
2024/4/10, 64, 33, , 25, , 7
2024/4/11, 75, 31, , 25, , 7
2024/4/12, 74, 22, , 22, , 6
2024/4/13, 56, 27, , 21, , 6
2024/4/14, 54, 20, , 16, , 5
2024/4/15, 53, 25, , 23, , 7
2024/4/16, 59, 31, , 21, , 5
2024/4/17, 56, 30, , 19, , 6
2024/4/18, 61, 18, , 15, , 5
2024/4/19, 42, 20, , 22, , 6
2024/4/20, 40, 23, , 19, , 5
2024/4/21, 50, 25, , 16, , 6
2024/4/22, 66, 43, , 28, 1, 9
2024/4/23, 92, 61, , 36, 1, 9
2024/4/24, 100, 49, , 24, , 7
2024/4/25, 94, 28, , 21, , 6
2024/4/26, 55, 28, , 23, 1, 6
2024/4/27, 64, 39, , 22, , 7
2024/4/28, 71, 32, , 14, 1, 5
2024/4/29, 68, 37, , 23, 1, 7
2024/4/30, 65, 57, , 34, 2, 10
2024/5/1, 93, 56, , 24, 11, 8
2024/5/2, 103, 56, , 27, 2, 7
2024/5/3, 85, 49, , 26, 1, 7
2024/5/4, 68, 47, , 26, 1, 9
2024/5/5, 83, 54, , 19, 1, 8
2024/5/6, 101, 55, , 26, 1, 9
2024/5/7, 91, 54, , 30, , 8
2024/5/8, 83, 50, , 25, 1, 6
2024/5/9, 69, 41, , 22, , 6
2024/5/10, 56, 35, , 25, 1, 7
2024/5/11, 58, 49, , 24, , 8
2024/5/12, 90, 41, , 17, 1, 7
2024/5/13, 83, 55, , 27, 1, 6
2024/5/14, 76, 16, , 14, , 4
2024/5/15, 29, 13, , 18, , 6
2024/5/16, 34, 46, , 30, 1, 9
2024/5/17, 72, 59, , 32, 1, 10
2024/5/18, 101, 46, , 23, 1, 8
2024/5/19, 92, 21, , 13, 1, 4
2024/5/20, 43, 24, , 18, , 6
2024/5/21, 54, 27, , 23, 1, 7
2024/5/22, 59, 46, , 29, , 10
2024/5/23, 84, 55, , 30, 1, 9
2024/5/24, 95, 54, , 28, 1, 8
2024/5/25, 75, 17, , 18, , 7
2024/5/26, 46, 9, , 13, , 4
2024/5/27, 29, 21, , 24, , 10
2024/5/28, 44, 18, , 15, , 4
2024/5/29, 51, 21, , 17, 1, 4
2024/5/30, 46, 18, , 17, , 5
2024/5/31, 39, 24, , 22, 1, 6
2024/6/1, 48, 25, , 20, 1, 6
2024/6/2, 50, 44, , 22, 1, 11
2024/6/3, 100, 47, , 27, 1, 12
2024/6/4, 95, 13, , 17, , 5
2024/6/5, 29, 27, , 28, 1, 9
2024/6/6, 55, 54, , 38, 1, 14
